,location,beds,size_sqft,bath,balcony,price
2218,Kengeri Satellite Town,2 BHK,1007.0,2.0,3.0,42000.0
2219,Bellandur,3 BHK,2039.0,3.0,2.0,168000.0
2220,Ulsoor,3 BHK,1020.0,3.0,2.0,110000.0
2221,Outer Ring Road East,2 BHK,1198.0,2.0,1.0,84000.0
2222,5th block Koramangala,4 BHK,4000.0,4.0,1.0,520000.0
2223,Nelamangala,4 BHK,1470.0,4.0,2.0,34500.0
2224,JakkurYelahanka,2 BHK,1370.0,2.0,2.0,75000.0
2225,Yemlur,2 BHK,1316.0,2.0,3.0,55500.0
2226,Kaggadasapura,3 BHK,1350.0,3.0,1.0,55500.0
2227,Gunjur Palya,2 BHK,1050.0,2.0,1.0,43000.0
2228,KR Puram,3 BHK,1128.76,3.0,0.0,47405.0
2229,Electronic City,2 BHK,921.0,2.0,1.0,34000.0
2230,Kundalahalli,2 BHK,1010.0,2.0,1.0,49270.0
2231,KR Puram,2 BHK,1015.0,2.0,1.0,43000.0
2232,TC Palaya,3 BHK,1200.0,2.0,0.0,66500.0
2233,Lakshminarayana Pura,2 BHK,1179.0,2.0,1.0,75000.0
2234,Anjanapura,4 BHK,1850.0,4.0,2.0,86000.0
2235,Kammasandra,2 BHK,870.0,2.0,1.0,24000.0
2236,Bellandur,3 BHK,1605.0,3.0,2.0,85000.0
2237,Banashankari Stage VI,4 BHK,2800.0,4.0,2.0,89000.0
2238,Malleshwaram,3 BHK,2475.0,4.0,3.0,320000.0
2239,Ngef Layout,2 BHK,3000.0,2.0,0.0,510000.0
2240,Bileshivale,6 BHK,2400.0,7.0,2.0,110000.0
2241,2nd Phase JP Nagar,2 BHK,1000.0,1.0,1.0,55000.0
2242,Ramamurthy Nagar,2 BHK,1200.0,2.0,0.0,80000.0
2243,Manjunatha Layout,2 BHK,1200.0,2.0,2.0,125000.0
2244,Kammasandra,2 BHK,1200.0,2.0,1.0,66000.0
2245,Kashi Nagar,2 BHK,1200.0,2.0,2.0,50000.0
2246,Hennur,2 BHK,1255.0,2.0,1.0,57500.0
2247,Hosur Road,2 BHK,1085.0,2.0,2.0,30380.0
2248,Kanakpura Road,3 BHK,1592.0,3.0,,125000.0
2249,B Narayanapura,2 BHK,1313.0,2.0,1.0,58270.0
2250,Kogilu,3 BHK,1934.0,3.0,2.0,150000.0
2251,Harlur,2 BHK,1200.0,2.0,1.0,49500.0
2252,Uttarahalli,6 BHK,3600.0,6.0,2.0,120000.0
2253,Old Madras Road,2 BHK,935.0,2.0,1.0,45000.0
2254,Bommasandra,2 BHK,877.0,2.0,2.0,30000.0
2255,Ashwathnagar,2 BHK,936.0,2.0,2.0,42000.0
2256,Nagasandra,3 BHK,1470.0,2.0,2.0,110000.0
2257,Upkar Layout,1 BHK,1050.0,1.0,1.0,70000.0
2258,Hennur Road,2 BHK,1232.0,2.0,0.0,69610.0
2259,Ambedkar Nagar,3 BHK,2225.0,4.0,2.0,169000.0
2260,Sunkadakatte,3 BHK,1200.0,2.0,0.0,80000.0
2261,Dasarahalli,3 BHK,1901.0,3.0,2.0,119000.0
2262,Sarjapur  Road,3 BHK,1819.0,3.0,2.0,100000.0
2263,HOSUR MAIN ROAD,3 BHK,1464.0,3.0,2.0,56000.0
2264,Banashankari,nan,2400.0,,,460000.0
2265,Old Madras Road,4 BHK,3715.0,6.0,0.0,200500.0
2266,9th Phase JP Nagar,4 BHK,5000.0,4.0,3.0,290000.0
2267,Someshwara Layout,4 BHK,1200.0,4.0,3.0,169000.0
2268,Kacharakanahalli,2 BHK,1256.0,2.0,1.0,60000.0
2269,7th Phase JP Nagar,2 BHK,1100.0,2.0,2.0,44000.0
2270,TC Palaya,4 BHK,4800.0,3.0,3.0,302000.0
2271,Kothanur,3 BHK,1435.0,3.0,3.0,70000.0
2272,6th Phase JP Nagar,4 BHK,3245.0,4.0,,250000.0
2273,Sarjapur  Road,3 BHK,1845.0,4.0,1.0,110000.0
2274,Jigani,3 BHK,2400.0,4.0,1.0,130000.0
2275,HSR Layout,2 BHK,1140.0,2.0,2.0,46000.0
2276,Ulsoor,2 BHK,1200.0,2.0,0.0,60000.0
2277,Talaghattapura,3 BHK,2254.0,3.0,2.0,170000.0
2278,Frazer Town,3 BHK,1750.0,3.0,2.0,150000.0
2279,Jalahalli West,2 BHK,1020.0,2.0,1.0,37000.0
2280,Bommanahalli,1 BHK,515.0,1.0,1.0,25000.0
2281,Lingadheeranahalli,3 BHK,1893.0,3.0,2.0,140000.0
2282,Vasanth nagar,3 BHK,3025.0,3.0,0.0,500000.0
2283,Suddaguntepalya,2 BHK,830.0,2.0,0.0,34000.0
2284,Singasandra,2 BHK,600.0,2.0,1.0,36500.0
2285,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,90000.0
2286,Kathreguppe,4 BHK,3200.0,4.0,2.0,1200000.0
2287,Kasavanhalli,2 BHK,1200.0,2.0,1.0,78000.0
2288,Sarjapur  Road,2 BHK,1233.0,2.0,2.0,77650.0
2289,Bannerghatta Road,2 BHK,1255.0,2.0,2.0,65260.00000000001
2290,Begur Road,2 BHK,1200.0,2.0,2.0,37800.0
2291,Varthur,3 BHK,2145.0,3.0,2.0,175000.0
2292,1st Phase JP Nagar,5 BHK,1500.0,5.0,,85000.0
2293,Kothannur,2 BHK,740.0,2.0,1.0,34000.0
2294,Kengeri,3 BHK,1250.0,3.0,3.0,48000.0
2295,Channasandra Layout,2 BHK,1210.0,2.0,2.0,40000.0
2296,Sarjapur  Road,3 BHK,1525.0,2.0,2.0,60000.0
2297,Kogilu,1 BHK,540.0,1.0,0.0,36000.0
2298,Tumkur Road,3 BHK,1240.0,2.0,1.0,84000.0
2299,Subramanyapura,3 BHK,1245.0,2.0,1.0,68000.0
2300,HAL 3rd Stage,3 BHK,1865.0,3.0,3.0,350000.0
2301,Hosa Road,2 BHK,1104.0,2.0,0.0,36430.0
2302,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35990.0
2303,Nagavara,2 BHK,2200.0,2.0,1.0,55000.0
2304,Whitefield,2 BHK,1155.0,2.0,1.0,60000.0
2305,Doctors Layout,2 BHK,1520.0,2.0,3.0,62000.0
2306,Thigalarapalya,4 BHK,3122.0,6.0,2.0,245000.0
2307,Harlur,2 BHK,1290.0,2.0,1.0,85000.0
2308,1st Block HRBR Layout,3 BHK,2300.0,3.0,,80000.0
2309,Kannamangala,4 BHK,3000.0,4.0,0.0,200000.0
2310,Whitefield,4 BHK,361.33,4.0,,270000.0
2311,Austin Town,1 BHK,400.0,1.0,0.0,14000.0
2312,Banashankari,3 BHK,1340.0,2.0,3.0,53600.0
2313,Malleshwaram,2 BHK,900.0,2.0,1.0,95000.0
2314,Rajaji Nagar,6 BHK,1800.0,4.0,,324000.0
2315,Hennur Road,2 BHK,987.0,2.0,1.0,49000.0
2316,Old Madras Road,3 BHK,1720.0,3.0,2.0,100000.0
2317,Hebbal,2 BHK,1040.0,2.0,1.0,50000.0
2318,Anandapura,2 BHK,900.0,2.0,0.0,64000.0
2319,Raja Rajeshwari Nagar,2 BHK,1030.0,2.0,1.0,50000.0
2320,Neeladri Nagar,3 BHK,2556.0,3.0,2.0,133000.0
2321,Basavangudi,3 BHK,1850.0,3.0,1.0,168000.0
2322,Kaval Byrasandra,4 BHK,750.0,4.0,3.0,110000.0
2323,Balagere,2 BHK,1028.0,2.0,1.0,31860.0
2324,7th Phase JP Nagar,2 BHK,1270.0,2.0,1.0,83000.0
2325,Sahakara Nagar,3 BHK,1655.0,3.0,1.0,115000.0
2326,Electronics City Phase 1,2 BHK,940.0,2.0,1.0,40000.0
2327,Domlur,2 BHK,1050.0,2.0,2.0,85000.0
2328,Rajagopala Nagar,4 BHK,600.0,4.0,1.0,40000.0
2329,Vishwapriya Nagar,2 BHK,946.0,2.0,1.0,38000.0
2330,CV Raman Nagar,3 BHK,1726.0,3.0,3.0,145000.0
2331,Sarakki Nagar,3 BHK,2121.0,4.0,3.0,253000.0
2332,Vittasandra,2 BHK,1404.0,2.0,1.0,75000.0
2333,Sarjapur,3 BHK,1525.0,2.0,2.0,48000.0
2334,Kengeri,2 BHK,1025.0,2.0,2.0,57000.0
2335,Bahubali Nagar,5 BHK,1575.0,4.0,0.0,150000.0
2336,RMV 2nd Stage,2 BHK,860.0,1.0,1.0,43000.0
2337,Talaghattapura,3 BHK,1223.0,2.0,1.0,42810.0
2338,Lottegolla Halli,4 BHK,3750.0,3.0,,550000.0
2339,Kothannur,2 BHK,1197.0,2.0,1.0,47800.0
2340,Garudachar Palya,2 BHK,1150.0,2.0,1.0,52750.0
2341,Kodbisanhalli,4 BHK,4800.0,5.0,3.0,629000.0
2342,R.T. Nagar,2 BHK,1040.0,2.0,2.0,46000.0
2343,Banashankari,2 BHK,1310.0,2.0,2.0,80000.0
2344,Uttarahalli,3 BHK,1788.0,3.0,2.0,98340.0
2345,Raja Rajeshwari Nagar,2 BHK,1144.0,2.0,2.0,38550.0
2346,Anjanapura,2 BHK,1070.0,2.0,2.0,39000.0
2347,Nandini Layout,2 BHK,1200.0,2.0,2.0,70000.0
2348,Ambedkar Nagar,3 BHK,1862.0,3.0,2.0,120000.0
2349,Margondanahalli,2 BHK,1200.0,2.0,1.0,58500.0
2350,Begur Road,2 BHK,970.0,2.0,2.0,27000.0
2351,Kasavanhalli,3 BHK,1646.0,3.0,2.0,79500.0
2352,Sarjapur  Road,4 BHK,4395.0,4.0,2.0,242000.0
2353,Vibhutipura Extension,5 BHK,1200.0,4.0,1.0,100000.0
2354,Iblur Village,3 BHK,1995.0,3.0,2.0,135000.0
2355,1st Block Jayanagar,4 BHK,2400.0,4.0,2.0,450000.0
2356,Hosakerehalli,2 BHK,1085.0,2.0,1.0,47740.0
2357,Budigere,2 BHK,1139.0,2.0,2.0,56800.0
2358,Haralur Road,2 BHK,1092.0,2.0,2.0,44000.0
2359,Pattandur Agrahara,3 BHK,1767.0,3.0,2.0,98000.0
2360,HMT Layout,3 BHK,1700.0,3.0,,80000.0
2361,Bellandur,3 BHK,1692.0,3.0,2.0,88000.0
2362,6th Phase JP Nagar,3 BHK,1645.0,3.0,3.0,100000.0
2363,Uttarahalli,3 BHK,1345.0,2.0,1.0,57000.0
2364,Basapura,2 BHK,1100.0,2.0,1.0,60000.0
2365,Gollarapalya Hosahalli,3 BHK,1408.0,3.0,3.0,62000.0
2366,Banashankari Stage III,4 BHK,2400.0,4.0,1.0,240000.0
2367,Kadugodi,4 BHK,1920.0,4.0,2.0,200000.0
2368,Bileshivale,5 BHK,6040.0,4.0,,170000.0
2369,Thigalarapalya,3 BHK,2072.0,4.0,2.0,150000.0
2370,Malleshwaram,2 BHK,1420.0,2.0,1.0,158000.0
2371,Electronics City Phase 1,3 BHK,2040.0,3.0,2.0,137000.0
2372,Sarjapur  Road,3 BHK,1220.0,3.0,2.0,56000.0
2373,8th Phase JP Nagar,4 BHK,1200.0,4.0,2.0,145000.0
2374,B Channasandra,2 BHK,1300.0,2.0,1.0,79000.0
2375,Electronics City Phase 1,2 BHK,1150.0,2.0,2.0,39000.0
2376,KR Puram,2 BHK,1470.0,2.0,2.0,86000.0
2377,Hosa Road,2 BHK,1063.0,2.0,1.0,31900.0
2378,Harappanahalli,2 BHK,1311.0,2.0,2.0,48000.0
2379,Dollars Colony,4 BHK,3500.0,4.0,3.0,350000.0
2380,Nagarbhavi,4 BHK,600.0,2.0,1.0,100000.0
2381,Arehalli,3 BHK,1400.0,2.0,2.0,55000.0
2382,Kanakpura Road,2 BHK,2200.0,2.0,0.0,62000.0
2383,Thanisandra,3 BHK,1430.0,2.0,2.0,56000.0
2384,Vidyaranyapura,2 BHK,1060.0,2.0,2.0,55000.0
2385,Cambridge  road,3 BHK,1000.0,2.0,0.0,110000.0
2386,Sector 7 HSR Layout,3 BHK,1760.0,3.0,2.0,145000.0
2387,Whitefield,3 BHK,2010.0,3.0,3.0,92000.0
2388,Kanakpura Road,3 BHK,1480.0,2.0,2.0,64230.00000000001
2389,8th Phase JP Nagar,3 BHK,1230.0,2.0,2.0,43500.0
2390,Gottigere,3 BHK,1300.0,3.0,3.0,65000.0
2391,Vajarahalli,4 BHK,800.0,4.0,0.0,120000.0
2392,Frazer Town,4 BHK,4850.0,6.0,2.0,385000.0
2393,Singasandra,2 BHK,1100.0,2.0,1.0,52000.0
2394,Harlur,3 BHK,1752.12,3.0,2.0,116000.0
2395,Marathahalli,2 BHK,957.0,2.0,1.0,46900.0
2396,Balagere,1 BHK,790.5,1.0,0.0,41900.0
2397,Hennur Gardens,3 BHK,1942.0,3.0,2.0,102000.0
2398,Ashirvad Colony,2 BHK,1000.0,2.0,2.0,53000.0
2399,Yeshwanthpur,1 BHK,668.0,1.0,1.0,36850.0
2400,Cholanayakanahalli,5 BHK,3000.0,6.0,3.0,1000000.0
2401,Nagarbhavi,3 BHK,600.0,2.0,1.0,80000.0
2402,Uttarahalli,2 BHK,1089.0,2.0,1.0,43550.0
2403,Thanisandra,3 BHK,1800.0,3.0,3.0,90000.0
2404,Yelahanka New Town,1 BHK,960.0,2.0,1.0,18000.0
2405,Yelahanka,2 BHK,1036.0,2.0,3.0,39350.0
2406,Marathahalli,3 BHK,1583.0,3.0,3.0,105000.0
2407,7th Phase JP Nagar,4 BHK,3300.0,4.0,0.0,150000.0
2408,Padmanabhanagar,2 BHK,1100.0,2.0,2.0,65000.0
2409,Thyagaraja Nagar,1 BHK,800.0,1.0,1.0,100000.0
2410,Vittasandra,2 BHK,1246.0,2.0,1.0,65000.0
2411,Dodda Nekkundi,2 BHK,850.0,2.0,3.0,28000.0
2412,Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,2.0,51510.0
2413,Thanisandra,3 BHK,1697.0,3.0,2.0,114000.0
2414,TC Palaya,2 BHK,1000.0,2.0,0.0,64000.0
2415,HRBR Layout,3 BHK,1567.0,3.0,3.0,90000.0
2416,Anekal,2 BHK,1200.0,1.0,1.0,36000.0
2417,Sarjapur  Road,4 BHK,3750.0,6.0,3.0,290000.0
2418,Veerannapalya,2 BHK,950.0,2.0,2.0,45000.0
2419,Howthinarayanappa Garden,2 BHK,1022.0,2.0,2.0,52000.0
2420,Kammasandra,2 BHK,1018.0,2.0,0.0,23450.0
2421,Basavanagara,4 BHK,2000.0,3.0,2.0,25000.0
2422,Bharathi Nagar,2 BHK,1322.0,2.0,2.0,68000.0
2423,Marsur,4 BHK,1800.0,4.0,2.0,145000.0
2424,Doddakallasandra,3 BHK,1460.0,2.0,2.0,58390.0
2425,SRINIVASAPURA,2 BHK,990.0,2.0,1.0,44550.0
2426,Cambridge Layout,3 BHK,2400.0,3.0,1.0,260000.0
2427,Whitefield,3 BHK,1635.0,2.0,2.0,85000.0
2428,Rajaji Nagar,4 BHK,3526.0,4.0,1.0,558000.0
2429,Padmanabhanagar,4 BHK,3400.0,3.0,1.0,210000.0
2430,Ramakrishnappa Layout,3 BHK,2770.0,3.0,1.0,460000.0
2431,EPIP Zone,4 BHK,3035.0,5.0,0.0,200000.0
2432,Maragondanahalli,3 BHK,1533.0,3.0,2.0,85000.0
2433,Akshaya Nagar,3 BHK,1720.0,3.0,1.0,134000.0
2434,Frazer Town,3 BHK,2000.0,3.0,1.0,200000.0
2435,Yeshwanthpur,2 BHK,1185.0,2.0,2.0,75840.0
2436,Varthur Road,2 BHK,900.0,2.0,1.0,27000.0
2437,Attibele,1 BHK,395.0,1.0,1.0,10250.0
2438,Electronic City Phase II,2 BHK,1031.0,2.0,1.0,56350.0
2439,3rd Block Banashankari,6 BHK,2400.0,8.0,2.0,650000.0
2440,Thanisandra,4 BHK,2650.0,4.0,2.0,240000.0
2441,Basaveshwara Nagar,5 BHK,2400.0,5.0,1.0,415000.0
2442,Uttarahalli,3 BHK,1330.0,2.0,2.0,46550.0
2443,Hennur,2 BHK,1259.0,2.0,2.0,57000.0
2444,Raja Rajeshwari Nagar,3 BHK,1570.0,3.0,2.0,88000.0
2445,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,36000.0
2446,Whitefield,2 BHK,1216.0,2.0,1.0,79000.0
2447,Sarjapur  Road,3 BHK,1428.0,2.0,2.0,66000.0
2448,Begur Road,2 BHK,1160.0,2.0,2.0,40590.0
2449, ittamadu,3 BHK,600.0,2.0,1.0,110000.0
2450,Doddakannelli,3 BHK,1475.0,3.0,2.0,70000.0
2451,Harlur,3 BHK,1754.0,3.0,2.0,135000.0
2452,Rayasandra,3 BHK,1639.0,3.0,1.0,83000.0
2453,Hennur Road,3 BHK,1804.0,3.0,2.0,102000.0
2454,Whitefield,3 BHK,1200.0,3.0,2.0,56200.0
2455,Anand Nagar,2 BHK,1135.0,2.0,3.0,55000.0
2456,Begur Road,2 BHK,1260.0,2.0,2.0,46620.0
2457,Peenya,5 BHK,1440.0,5.0,1.0,110000.0
2458,Hennur Road,3 BHK,2160.0,3.0,2.0,160000.0
2459,Rayasandra,7 BHK,700.0,6.0,,85000.0
2460,Rachenahalli,2 BHK,1220.0,2.0,2.0,59500.0
2461,Margondanahalli,2 BHK,1200.0,2.0,0.0,67000.0
2462,Yelahanka,2 BHK,1300.0,2.0,3.0,65000.0
2463,Cox Town,1 BHK,605.0,1.0,1.0,29000.0
2464,Vijayanagar,6 BHK,1230.0,4.0,1.0,210000.0
2465,Bhoganhalli,2 BHK,1444.0,2.0,1.0,75970.0
2466,Amruthahalli,2 BHK,924.0,2.0,1.0,45000.0
2467,Kaikondrahalli,2 BHK,1000.0,2.0,1.0,30000.0
2468,Vishveshwarya Layout,4 BHK,600.0,4.0,0.0,95000.0
2469,Patelappa Layout,3 BHK,1200.0,3.0,3.0,225000.0
2470,Bisuvanahalli,2 BHK,845.0,2.0,1.0,29000.0
2471,Kanakpura Road,2 BHK,700.0,2.0,1.0,35000.0
2472,Kothanur,2 BHK,1187.0,2.0,2.0,58000.0
2473,Kaggadasapura,3 BHK,1625.0,3.0,2.0,55000.0
2474, Devarachikkanahalli,2 BHK,1200.0,2.0,2.0,83000.0
2475,Pulkeshi Nagar,2 BHK,1452.55,2.0,3.0,110000.0
2476,"Thanisandra Main Road, ",3 BHK,2357.0,3.0,2.0,151000.0
2477,Kaval Byrasandra,2 BHK,1200.0,2.0,1.0,49500.0
2478,Budigere,2 BHK,1139.0,2.0,2.0,56850.0
2479,Basavangudi,1 BHK,600.0,1.0,0.0,97500.0
2480,Kanakpura Road,3 BHK,1660.0,3.0,3.0,75000.0
2481,Jayanagar,2 BHK,1170.0,2.0,3.0,105000.0
2482,Somasundara Palya,2 BHK,1448.0,2.0,2.0,68000.0
2483,Kadugodi,3 BHK,1762.0,3.0,3.0,110000.0
2484,Kaggadasapura,2 BHK,1105.0,2.0,1.0,38650.0
2485,Yelahanka,3 BHK,1825.0,3.0,1.0,105000.0
2486, Bhoganhalli,1 RK,296.0,1.0,0.0,22890.0
2487,Kumbalgodu,5 BHK,1200.0,4.0,1.0,85000.0
2488,Thanisandra,2 BHK,1185.0,2.0,2.0,43000.0
2489,Electronic City Phase II,3 BHK,1320.0,2.0,1.0,38120.0
2490,Hulimavu,2 BHK,1058.0,2.0,1.0,48000.0
2491,Bellandur,2 BHK,1220.0,2.0,2.0,60000.0
2492,Sarjapur,2 BHK,925.0,2.0,1.0,25000.0
2493,Old Madras Road,2 BHK,1200.0,2.0,1.0,72000.0
2494,Kengeri,3 BHK,1160.0,2.0,2.0,40600.0
2495,Kengeri Satellite Town,3 BHK,600.0,4.0,3.0,72000.0
2496,banashankari stage iii sa,3 BHK,1411.0,3.0,2.0,91720.0
2497,Bannerghatta Road,3 BHK,1550.0,3.0,2.0,78000.0
2498,Green Glen Layout,4 BHK,3250.0,4.0,3.0,230000.0
2499,Haralur Road,3 BHK,2475.0,4.0,,130000.0
2500,Jakkur,4 BHK,3181.0,,,260500.0
2501,7th Phase JP Nagar,4 BHK,2503.0,4.0,0.0,188000.0
2502,Marathahalli,4 BHK,2524.0,5.0,2.0,190000.0
2503,Kaggadasapura,2 BHK,1063.0,2.0,2.0,42000.0
2504,Kanakpura Road,2 BHK,1077.0,2.0,1.0,37700.0
2505,Manayata Tech Park,2 BHK,1200.0,3.0,2.0,44000.0
2506,Hosakerehalli,4 BHK,1500.0,3.0,2.0,70000.0
2507,Jalahalli,2 BHK,1045.0,2.0,2.0,76770.0
2508,Kanakapura,3 BHK,1290.0,2.0,3.0,45150.0
2509,Hoodi,2 BHK,1400.0,2.0,1.0,78000.0
2510,Begur Road,3 BHK,1600.0,3.0,2.0,58140.0
2511,Jayanagar,3 BHK,3095.0,3.0,3.0,375000.0
2512,Nagavara,3 BHK,1545.0,2.0,1.0,58000.0
2513,Sarjapur  Road,3 BHK,1680.0,3.0,1.0,112000.0
2514,Amruthnagar,2 BHK,1350.0,2.0,1.0,67500.0
2515,Gottigere,2 BHK,950.0,2.0,1.0,38000.0
2516,Thanisandra,2 BHK,1050.0,2.0,2.0,45000.0
2517,Banashankari Stage V,3 BHK,1305.0,2.0,2.0,49000.0
2518,Hosakerehalli,4 BHK,800.0,4.0,2.0,120000.0
2519,Kodichikkanahalli,5 BHK,2700.0,7.0,2.0,125000.0
2520,MS Pallya,3 BHK,1100.0,3.0,1.0,78000.0
2521,Thanisandra,6 BHK,3500.0,5.0,0.0,160000.0
2522,Begur Road,3 BHK,1634.0,3.0,1.0,83330.0
2523,Prithvi Layout,2 BHK,1352.0,2.0,2.0,85000.0
2524,Balagere,2 BHK,1145.0,2.0,2.0,65000.0
2525,Alfa Garden Layout,2 BHK,1240.0,2.0,,43790.0
2526,7th Phase JP Nagar,3 BHK,2200.0,3.0,2.0,190000.0
2527,Bommasandra Industrial Area,2 BHK,1020.0,2.0,1.0,39000.0
2528,Palace Guttahalli,4 BHK,3600.0,4.0,,365000.0
2529,Raja Rajeshwari Nagar,2 BHK,1168.0,2.0,1.0,61000.0
2530,Electronic City Phase II,2 BHK,1205.0,2.0,1.0,75000.0
2531,Yeshwanthpur,2 BHK,1195.0,2.0,2.0,100000.0
2532,CV Raman Nagar,2 BHK,1028.0,2.0,1.0,49000.0
2533,Akshya Nagar,2 BHK,1175.0,2.0,2.0,48270.0
2534,Pai Layout,3 BHK,1550.0,2.0,2.0,90000.0
2535,Yeshwanthpur,3 BHK,1826.0,3.0,2.0,165000.0
2536,Hoodi,5 BHK,2400.0,5.0,2.0,160000.0
2537,Yelahanka,3 BHK,1603.0,3.0,2.0,96000.0
2538,Marathahalli,3 BHK,1350.0,3.0,1.0,72000.0
2539,KR Puram,1 BHK,714.0,1.0,1.0,28000.0
2540,Whitefield,2 BHK,1215.0,2.0,3.0,65000.0
2541,Malleshpalya,3 BHK,1405.0,2.0,2.0,77000.0
2542,KR Puram,2 BHK,1142.0,2.0,1.0,51000.0
2543,Akshaya Vana,4 BHK,4000.0,4.0,3.0,170000.0
2544,Whitefield,3 BHK,1870.0,3.0,2.0,90000.0
2545,Subramanyapura,2 BHK,1313.0,2.0,2.0,73000.0
2546,Hennur Gardens,3 BHK,1945.0,3.0,3.0,120000.0
2547,Thanisandra,3 BHK,1573.0,3.0,2.0,95000.0
2548,Sarjapur  Road,2 BHK,1255.0,2.0,1.0,92000.0
2549,Benson Town,4 BHK,1400.0,3.0,2.0,91150.0
2550,Kannamangala,2 BHK,1235.0,2.0,2.0,43630.0
2551,Sarjapur  Road,3 BHK,1380.0,2.0,1.0,52000.0
2552,Ramamurthy Nagar,7 BHK,1500.0,9.0,2.0,250000.0
2553,Vittasandra,2 BHK,1238.0,2.0,1.0,67000.0
2554,Chennammana Kere,3 BHK,1465.0,2.0,3.0,74720.0
2555,Thigalarapalya,2 BHK,1418.0,2.0,2.0,103000.0
2556,Victoria Layout,3 BHK,1650.0,3.0,1.0,165000.0
2557, Anekal,1 RK,351.0,1.0,1.0,16000.0
2558,Uttarahalli,2 BHK,1279.0,2.0,2.0,48000.0
2559,Kasavanhalli,3 BHK,1870.0,3.0,1.0,200000.0
2560,BCC Layout,4 BHK,1500.0,5.0,1.0,230000.0
2561,Hebbal,3 BHK,2526.0,2.0,2.0,250000.0
2562,Mathikere,3 BHK,1550.0,2.0,1.0,150000.0
2563,Rajaji Nagar,4 BHK,3539.5,,,424500.0
2564,Uttarahalli,3 BHK,1845.0,2.0,1.0,68270.0
2565,Motappa Layout,3 BHK,1360.0,2.0,1.0,59270.0
2566,Friends Colony,3 BHK,1150.0,2.0,1.0,75000.0
2567,Whitefield,2 BHK,1260.0,2.0,2.0,49500.0
2568,Doddabidrakallu,3 BHK,1200.0,3.0,1.0,74000.0
2569,Dasanapura,2 BHK,965.0,2.0,1.0,42500.0
2570,Hoodi,3 BHK,1350.0,2.0,3.0,48000.0
2571,Bhoganhalli,2 BHK,1447.0,2.0,1.0,75970.0
2572,Arehalli,3 BHK,1229.0,3.0,1.0,86030.0
2573,Kudlu,2 BHK,1027.0,2.0,2.0,43000.0
2574,Gottigere,2 BHK,1153.0,2.0,1.0,48500.0
2575,Whitefield,4 BHK,2856.0,5.0,0.0,145500.0
2576,Malleshpalya,2 BHK,1065.0,2.0,2.0,50000.0
2577,Tala Cauvery Layout,2 BHK,1030.0,2.0,3.0,61000.0
2578,Mallasandra,2 BHK,1340.0,2.0,2.0,61000.0
2579,Marathahalli,4 BHK,4000.0,5.0,,212000.0
2580,Sri Balaji Krupa Layout,1 BHK,600.0,1.0,0.0,32000.0
2581,Begur Road,3 BHK,1410.0,2.0,3.0,44420.0
2582,Varthur,2 BHK,1055.0,2.0,2.0,45350.0
2583,Yelahanka,2 BHK,1304.0,2.0,1.0,79000.0
2584,Sadashiva Nagar,4 BHK,2720.0,4.0,1.0,485000.0
2585,Kammasandra,2 BHK,990.0,2.0,1.0,31500.0
2586,7th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,39330.0
2587,Tumkur Road,1 BHK,700.0,1.0,0.0,30090.0
2588,Sonnenahalli,2 BHK,1120.0,2.0,2.0,43000.0
2589,Haralur Road,2 BHK,1300.0,2.0,2.0,73000.0
2590,Tumkur Road,2 BHK,1239.0,2.0,1.0,82000.0
2591,Sarjapur  Road,3 BHK,1403.0,3.0,3.0,51630.0
2592,Hosa Road,2 BHK,1365.0,2.0,1.0,92000.0
2593,8th block Koramangala,2 BHK,1165.0,2.0,1.0,135000.0
2594,Subramanyapura,3 BHK,1130.0,2.0,3.0,45190.0
2595,Green Glen Layout,3 BHK,1776.42,3.0,2.0,105000.0
2596,Vidyaranyapura,4 BHK,900.0,4.0,3.0,175000.0
2597,Haralur Road,2 BHK,1194.0,2.0,2.0,47000.0
2598,Bidadi,2 BHK,1107.0,2.0,2.0,33000.0
2599,Nagavara,3 BHK,2319.0,3.0,2.0,180000.0
2600,Nallurhalli,3 BHK,1520.0,3.0,3.0,80000.0
2601,Kannamangala,3 BHK,1536.0,3.0,1.0,89000.0
2602,Teachers Colony,4 BHK,3000.0,4.0,2.0,240000.0
2603,Belathur,2 BHK,1050.0,2.0,1.0,38000.0
2604,Hoodi,3 BHK,1850.0,3.0,2.0,146000.0
2605,Billekahalli,2 BHK,1112.0,2.0,2.0,62000.0
2606,Marathahalli,3 BHK,1535.0,3.0,2.0,72500.0
2607,Kanakpura Road,2 BHK,1050.0,2.0,1.0,35000.0
2608,Banashankari,4 BHK,2400.0,3.0,2.0,370000.0
2609,7th Phase JP Nagar,3 BHK,1250.0,3.0,2.0,65000.0
2610,Kalena Agrahara,2 BHK,1187.0,2.0,3.0,52000.0
2611,9th Phase JP Nagar,2 BHK,1164.0,2.0,1.0,56000.0
2612,Electronic City Phase II,3 BHK,1395.0,2.0,1.0,62780.0
2613,Arekere,3 BHK,2072.0,3.0,2.0,108000.0
2614,Kanakpura Road,3 BHK,1450.0,3.0,3.0,60910.0
2615,Bannerghatta Road,3 BHK,1550.0,3.0,2.0,82000.0
